CPU_Requested,CPU_Got,ALL_PARTITIONS_FIRST_GET_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_FIRST_GET_NEW_DESTINATION_WALL_MILLIS,ALL_PARTITIONS_FIRST_GET_ACCESS_DATA_WALL_MILLIS,ALL_PARTITIONS_FIRST_UPDATE_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_FIRST_UPDATE_LOCATION_2_WALL_MILLIS,ALL_PARTITIONS_FIRST_INSERT_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_FIRST_DELETE_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_FIRST_UPDATE_LOCATION_WALL_MILLIS,ALL_PARTITIONS_FIRST_INSERT_CALL_FORWARDING_WALL_MILLIS,ALL_PARTITIONS_FIRST_DELETE_CALL_FORWARDING_WALL_MILLIS,MULTI_QUERY_FIRST_GET_SUBSCRIBER_DATA_WALL_MILLIS,MULTI_QUERY_FIRST_GET_NEW_DESTINATION_WALL_MILLIS,MULTI_QUERY_FIRST_GET_ACCESS_DATA_WALL_MILLIS,MULTI_QUERY_FIRST_UPDATE_SUBSCRIBER_DATA_WALL_MILLIS,MULTI_QUERY_FIRST_UPDATE_LOCATION_2_WALL_MILLIS,MULTI_QUERY_FIRST_INSERT_CALL_FORWARDING_2_WALL_MILLIS,MULTI_QUERY_FIRST_DELETE_CALL_FORWARDING_2_WALL_MILLIS,MULTI_QUERY_FIRST_UPDATE_LOCATION_WALL_MILLIS,MULTI_QUERY_FIRST_INSERT_CALL_FORWARDING_WALL_MILLIS,MULTI_QUERY_FIRST_DELETE_CALL_FORWARDING_WALL_MILLIS,ALL_PARTITIONS_TASKED_GET_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_TASKED_GET_NEW_DESTINATION_WALL_MILLIS,ALL_PARTITIONS_TASKED_GET_ACCESS_DATA_WALL_MILLIS,ALL_PARTITIONS_TASKED_UPDATE_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_TASKED_UPDATE_LOCATION_2_WALL_MILLIS,ALL_PARTITIONS_TASKED_INSERT_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_TASKED_DELETE_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_TASKED_UPDATE_LOCATION_WALL_MILLIS,ALL_PARTITIONS_TASKED_INSERT_CALL_FORWARDING_WALL_MILLIS,ALL_PARTITIONS_TASKED_DELETE_CALL_FORWARDING_WALL_MILLIS,
2000,9466,0,0,0,0,1,1,1,,,,0,0,0,0,1,1,1,,,,0,0,0,0,,,,1,1,1,
4000,9473,0,0,0,0,1,1,1,,,,0,0,0,0,1,1,1,,,,0,0,0,0,,,,1,1,1,
6000,9472,0,0,0,0,1,1,1,,,,0,0,0,0,815,816,816,,,,0,0,0,0,,,,1,1,1,
8000,9471,0,0,0,0,1,1,1,,,,0,0,0,0,1,1,1,,,,0,0,0,0,,,,1,1,1,
10000,18615,0,0,0,0,1,1,1,,,,615,582,738,827,1977,2014,2118,,,,0,0,0,0,,,,1,1,1,
12000,18618,0,0,0,0,1,1,1,,,,2484,2433,2406,2614,3068,3058,3116,,,,0,0,0,0,,,,1,1,1,
14000,18615,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,1,1,1,
16000,18615,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,1,1,1,
18000,18610,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,1,1,1,
20000,27376,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,3,3,3,
22000,27381,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,3,3,3,
24000,27379,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,3,4,4,
26000,27395,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,3,3,3,
28000,27392,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,3,3,3,
30000,35780,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,4,4,4,
32000,35799,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,5,5,5,
34000,35803,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,5,5,5,
36000,35787,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,5,5,5,
38000,35779,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,5,5,5,
40000,43764,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,7,7,7,
42000,43762,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,6,6,6,
44000,43759,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,7,7,7,
46000,43730,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,7,7,7,
48000,43795,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,6,6,6,
50000,51366,0,0,0,0,2,2,2,,,,,,,,,,,,,,0,0,0,1,,,,8,8,8,
52000,51481,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,9,9,9,
54000,51301,0,0,0,0,2,2,2,,,,,,,,,,,,,,0,0,0,1,,,,8,8,8,
56000,51368,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,1,0,1,,,,9,10,9,
58000,51347,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,9,9,9,
60000,58659,0,0,0,0,2,3,2,,,,,,,,,,,,,,1,1,1,1,,,,12,13,12,
62000,58554,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,1,,,,12,12,12,
64000,58553,0,0,0,0,2,3,2,,,,,,,,,,,,,,1,1,1,1,,,,12,12,12,
66000,58533,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,1,,,,12,12,12,
68000,58477,0,0,0,0,1,2,1,,,,,,,,,,,,,,1,1,1,1,,,,12,12,12,
70000,65175,0,0,0,0,1,2,1,,,,,,,,,,,,,,1,1,1,1,,,,15,15,15,
72000,65328,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,2,,,,15,15,15,
74000,65133,0,0,0,0,3,4,3,,,,,,,,,,,,,,1,1,1,2,,,,16,16,16,
76000,65484,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,2,,,,16,16,16,
78000,65188,0,0,0,0,3,4,3,,,,,,,,,,,,,,1,1,1,1,,,,14,14,14,
80000,71912,0,0,0,0,1,1,1,,,,,,,,,,,,,,4,4,4,4,,,,23,23,23,
82000,71504,0,0,0,0,4,4,4,,,,,,,,,,,,,,3,3,3,4,,,,21,21,21,
84000,71993,0,0,0,0,1,1,1,,,,,,,,,,,,,,3,3,3,4,,,,20,20,20,
86000,71490,0,0,0,0,4,4,4,,,,,,,,,,,,,,3,3,3,4,,,,22,21,21,
88000,71415,0,0,0,0,1,1,1,,,,,,,,,,,,,,2,2,2,3,,,,23,23,23,
90000,77220,0,0,0,0,5,5,5,,,,,,,,,,,,,,7,7,7,8,,,,28,28,28,
92000,77247,0,0,0,0,5,5,5,,,,,,,,,,,,,,6,6,6,7,,,,31,31,31,
94000,77386,0,0,0,0,2,3,2,,,,,,,,,,,,,,5,5,5,6,,,,35,34,34,
