CPU_Requested,CPU_Got,ALL_PARTITIONS_FIRST_GET_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_FIRST_GET_NEW_DESTINATION_WALL_MILLIS,ALL_PARTITIONS_FIRST_GET_ACCESS_DATA_WALL_MILLIS,ALL_PARTITIONS_FIRST_UPDATE_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_FIRST_UPDATE_LOCATION_2_WALL_MILLIS,ALL_PARTITIONS_FIRST_INSERT_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_FIRST_DELETE_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_FIRST_UPDATE_LOCATION_WALL_MILLIS,ALL_PARTITIONS_FIRST_INSERT_CALL_FORWARDING_WALL_MILLIS,ALL_PARTITIONS_FIRST_DELETE_CALL_FORWARDING_WALL_MILLIS,MULTI_QUERY_FIRST_GET_SUBSCRIBER_DATA_WALL_MILLIS,MULTI_QUERY_FIRST_GET_NEW_DESTINATION_WALL_MILLIS,MULTI_QUERY_FIRST_GET_ACCESS_DATA_WALL_MILLIS,MULTI_QUERY_FIRST_UPDATE_SUBSCRIBER_DATA_WALL_MILLIS,MULTI_QUERY_FIRST_UPDATE_LOCATION_2_WALL_MILLIS,MULTI_QUERY_FIRST_INSERT_CALL_FORWARDING_2_WALL_MILLIS,MULTI_QUERY_FIRST_DELETE_CALL_FORWARDING_2_WALL_MILLIS,MULTI_QUERY_FIRST_UPDATE_LOCATION_WALL_MILLIS,MULTI_QUERY_FIRST_INSERT_CALL_FORWARDING_WALL_MILLIS,MULTI_QUERY_FIRST_DELETE_CALL_FORWARDING_WALL_MILLIS,ALL_PARTITIONS_TASKED_GET_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_TASKED_GET_NEW_DESTINATION_WALL_MILLIS,ALL_PARTITIONS_TASKED_GET_ACCESS_DATA_WALL_MILLIS,ALL_PARTITIONS_TASKED_UPDATE_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_TASKED_UPDATE_LOCATION_2_WALL_MILLIS,ALL_PARTITIONS_TASKED_INSERT_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_TASKED_DELETE_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_TASKED_UPDATE_LOCATION_WALL_MILLIS,ALL_PARTITIONS_TASKED_INSERT_CALL_FORWARDING_WALL_MILLIS,ALL_PARTITIONS_TASKED_DELETE_CALL_FORWARDING_WALL_MILLIS,
2000,9493,0,0,0,0,0,0,0,,,,0,0,0,0,1,1,1,,,,0,0,0,0,,,,1,1,1,
4000,9500,0,0,0,0,1,1,1,,,,0,0,0,0,1,1,1,,,,0,0,0,0,,,,0,0,0,
6000,9488,0,0,0,0,0,0,0,,,,0,0,0,0,1,1,1,,,,0,0,0,0,,,,1,1,1,
8000,9484,0,0,0,0,1,1,1,,,,0,0,0,0,3,3,3,,,,0,0,0,0,,,,0,0,0,
10000,18680,0,0,0,0,0,1,0,,,,0,0,0,0,1,1,1,,,,0,0,0,0,,,,4,4,4,
12000,18651,0,0,0,0,1,1,1,,,,5115,5151,5111,5076,6969,6884,6832,,,,0,0,0,0,,,,6,6,6,
14000,18673,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,6,6,6,
16000,18633,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,4,4,4,
18000,18653,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,,,,7,7,7,
20000,27521,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,8,8,8,
22000,27495,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,9,9,9,
24000,27518,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,10,10,10,
26000,27465,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,11,11,11,
28000,27430,0,0,0,0,2,3,2,,,,,,,,,,,,,,0,0,0,0,,,,9,9,9,
30000,35998,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,2,,,,16,16,16,
32000,35958,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,13,13,13,
34000,36023,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,2,,,,15,15,15,
36000,35921,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,13,13,13,
38000,35896,0,0,0,0,1,2,1,,,,,,,,,,,,,,1,1,1,2,,,,15,15,15,
40000,44066,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,2,,,,19,20,19,
42000,44186,0,0,0,0,1,1,1,,,,,,,,,,,,,,3,3,3,4,,,,22,22,22,
44000,44050,0,0,0,0,1,2,1,,,,,,,,,,,,,,1,1,1,2,,,,20,20,20,
46000,44066,0,0,0,0,1,2,1,,,,,,,,,,,,,,3,3,3,4,,,,23,23,23,
48000,44048,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,2,,,,19,19,19,
50000,52071,0,0,0,0,1,1,1,,,,,,,,,,,,,,4,4,4,6,,,,33,33,33,
52000,51541,0,0,0,0,6,7,6,,,,,,,,,,,,,,5,5,5,6,,,,36,36,36,
54000,51977,0,0,0,0,1,1,1,,,,,,,,,,,,,,5,5,5,6,,,,38,38,39,
56000,51790,0,0,0,0,1,1,1,,,,,,,,,,,,,,5,5,5,6,,,,38,38,38,
58000,51661,0,0,0,0,4,5,4,,,,,,,,,,,,,,7,7,7,8,,,,41,43,42,
60000,59232,0,0,0,0,2,3,2,,,,,,,,,,,,,,8,8,8,10,,,,58,59,58,
62000,59522,0,0,0,0,1,1,1,,,,,,,,,,,,,,12,12,12,14,,,,69,71,70,
64000,58779,0,0,0,0,8,9,8,,,,,,,,,,,,,,12,12,12,14,,,,58,58,58,
66000,59509,0,0,0,0,1,1,1,,,,,,,,,,,,,,12,12,12,14,,,,64,66,65,
68000,59214,0,0,0,0,3,3,3,,,,,,,,,,,,,,8,8,8,10,,,,56,57,56,
70000,65878,0,0,0,0,8,8,8,,,,,,,,,,,,,,25,25,25,27,,,,73,73,73,
72000,66270,0,0,0,0,4,5,4,,,,,,,,,,,,,,25,25,25,28,,,,77,77,76,
74000,65904,0,0,0,0,8,8,8,,,,,,,,,,,,,,29,29,29,31,,,,81,81,81,
76000,66319,0,0,0,0,5,5,5,,,,,,,,,,,,,,26,26,26,28,,,,77,77,77,
78000,66635,0,0,0,0,1,1,1,,,,,,,,,,,,,,32,33,33,35,,,,80,81,81,
80000,71875,0,0,0,0,12,13,12,,,,,,,,,,,,,,46,46,46,48,,,,82,82,82,
82000,73220,0,0,0,0,1,1,1,,,,,,,,,,,,,,47,47,47,49,,,,79,79,79,
84000,72334,0,0,0,0,10,11,10,,,,,,,,,,,,,,46,46,46,48,,,,78,78,79,
86000,73282,0,0,0,0,1,1,1,,,,,,,,,,,,,,45,45,45,47,,,,79,78,78,
88000,72375,0,0,0,0,10,10,10,,,,,,,,,,,,,,52,52,52,54,,,,80,80,81,
90000,79632,0,0,0,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,
92000,78279,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
94000,79506,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
96000,78397,0,0,0,0,12,13,12,,,,,,,,,,,,,,,,,,,,,,,,
98000,79483,0,0,0,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,
100000,83852,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
102000,85301,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
104000,84089,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
106000,85160,0,0,0,0,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,
108000,84819,0,0,0,0,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,
110000,89701,0,0,0,0,15,16,15,,,,,,,,,,,,,,,,,,,,,,,,
112000,89861,0,0,0,0,14,15,14,,,,,,,,,,,,,,,,,,,,,,,,
114000,89891,0,0,0,0,15,16,15,,,,,,,,,,,,,,,,,,,,,,,,
116000,88806,0,0,0,1,19,20,19,,,,,,,,,,,,,,,,,,,,,,,,
118000,90554,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
120000,92909,0,0,0,1,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
122000,94886,0,0,0,1,17,18,17,,,,,,,,,,,,,,,,,,,,,,,,
124000,94457,0,0,0,1,17,18,18,,,,,,,,,,,,,,,,,,,,,,,,
