CPU_Requested,CPU_Got,ALL_PARTITIONS_FIRST_GET_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_FIRST_GET_NEW_DESTINATION_WALL_MILLIS,ALL_PARTITIONS_FIRST_GET_ACCESS_DATA_WALL_MILLIS,ALL_PARTITIONS_FIRST_UPDATE_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_FIRST_UPDATE_LOCATION_2_WALL_MILLIS,ALL_PARTITIONS_FIRST_INSERT_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_FIRST_DELETE_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_FIRST_UPDATE_LOCATION_WALL_MILLIS,ALL_PARTITIONS_FIRST_INSERT_CALL_FORWARDING_WALL_MILLIS,ALL_PARTITIONS_FIRST_DELETE_CALL_FORWARDING_WALL_MILLIS,MULTI_QUERY_FIRST_GET_SUBSCRIBER_DATA_WALL_MILLIS,MULTI_QUERY_FIRST_GET_NEW_DESTINATION_WALL_MILLIS,MULTI_QUERY_FIRST_GET_ACCESS_DATA_WALL_MILLIS,MULTI_QUERY_FIRST_UPDATE_SUBSCRIBER_DATA_WALL_MILLIS,MULTI_QUERY_FIRST_UPDATE_LOCATION_2_WALL_MILLIS,MULTI_QUERY_FIRST_INSERT_CALL_FORWARDING_2_WALL_MILLIS,MULTI_QUERY_FIRST_DELETE_CALL_FORWARDING_2_WALL_MILLIS,MULTI_QUERY_FIRST_UPDATE_LOCATION_WALL_MILLIS,MULTI_QUERY_FIRST_INSERT_CALL_FORWARDING_WALL_MILLIS,MULTI_QUERY_FIRST_DELETE_CALL_FORWARDING_WALL_MILLIS,ALL_PARTITIONS_TASKED_GET_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_TASKED_GET_NEW_DESTINATION_WALL_MILLIS,ALL_PARTITIONS_TASKED_GET_ACCESS_DATA_WALL_MILLIS,ALL_PARTITIONS_TASKED_UPDATE_SUBSCRIBER_DATA_WALL_MILLIS,ALL_PARTITIONS_TASKED_UPDATE_LOCATION_2_WALL_MILLIS,ALL_PARTITIONS_TASKED_INSERT_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_TASKED_DELETE_CALL_FORWARDING_2_WALL_MILLIS,ALL_PARTITIONS_TASKED_UPDATE_LOCATION_WALL_MILLIS,ALL_PARTITIONS_TASKED_INSERT_CALL_FORWARDING_WALL_MILLIS,ALL_PARTITIONS_TASKED_DELETE_CALL_FORWARDING_WALL_MILLIS,
2000,9466,0,0,0,0,1,1,1,,,,0,0,0,0,247,256,240,,,,0,0,0,0,,,,1,1,1,
4000,9470,0,0,0,0,1,1,1,,,,0,0,0,0,653,663,661,,,,0,0,0,0,,,,1,1,1,
6000,9472,0,0,0,0,1,1,1,,,,0,0,0,0,1,1,1,,,,0,0,0,0,,,,1,1,1,
8000,9474,0,0,0,0,1,1,1,,,,0,0,0,0,787,786,783,,,,0,0,0,0,,,,1,1,1,
10000,18635,0,0,0,0,1,1,1,,,,0,0,0,0,1,1,1,,,,0,0,0,0,,,,3,3,3,
12000,18636,0,0,0,0,1,1,1,,,,5669,5632,5728,5826,6930,6866,6802,,,,0,0,0,0,,,,1,1,1,
14000,18638,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,3,3,3,
16000,18634,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,1,1,1,
18000,18629,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,3,3,3,
20000,27447,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,4,4,4,
22000,27440,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,5,5,5,
24000,27466,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,5,5,5,
26000,27456,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,5,5,5,
28000,27438,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,0,,,,5,5,5,
30000,35919,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,8,8,8,
32000,35901,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,7,7,7,
34000,35947,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,8,8,8,
36000,35928,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,8,8,8,
38000,35951,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,0,0,1,,,,8,8,8,
40000,44013,0,0,0,0,2,2,2,,,,,,,,,,,,,,1,1,1,1,,,,12,12,12,
42000,44058,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,1,,,,11,11,11,
44000,44073,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,1,,,,13,13,13,
46000,44053,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,1,,,,13,13,13,
48000,44062,0,0,0,0,1,1,1,,,,,,,,,,,,,,1,1,1,1,,,,13,13,13,
50000,51781,0,0,0,0,1,1,1,,,,,,,,,,,,,,3,3,3,4,,,,21,21,20,
52000,51783,0,0,0,0,1,1,1,,,,,,,,,,,,,,2,2,2,3,,,,19,19,19,
54000,51804,0,0,0,0,1,1,1,,,,,,,,,,,,,,3,2,3,4,,,,18,18,18,
56000,51755,0,0,0,0,1,1,1,,,,,,,,,,,,,,3,3,3,4,,,,21,21,20,
58000,51727,0,0,0,0,1,1,1,,,,,,,,,,,,,,3,3,3,4,,,,18,19,18,
60000,58979,0,0,0,0,1,2,1,,,,,,,,,,,,,,7,7,7,8,,,,33,32,33,
62000,59073,0,0,0,0,1,2,1,,,,,,,,,,,,,,7,7,7,8,,,,34,34,34,
64000,58993,0,0,0,0,1,2,1,,,,,,,,,,,,,,6,6,6,7,,,,29,29,29,
66000,59068,0,0,0,0,2,2,2,,,,,,,,,,,,,,7,7,7,8,,,,32,31,31,
68000,59037,0,0,0,0,2,2,2,,,,,,,,,,,,,,6,6,6,7,,,,27,27,27,
70000,65990,0,0,0,0,1,1,1,,,,,,,,,,,,,,11,11,11,12,,,,38,38,38,
72000,65802,0,0,0,0,5,5,5,,,,,,,,,,,,,,10,10,10,12,,,,38,38,38,
74000,65944,0,0,0,0,1,1,1,,,,,,,,,,,,,,11,11,11,13,,,,40,40,39,
76000,65747,0,0,0,0,5,5,5,,,,,,,,,,,,,,11,11,11,13,,,,41,41,40,
78000,65946,0,0,0,0,1,1,1,,,,,,,,,,,,,,11,11,11,13,,,,45,45,45,
80000,72182,0,0,0,0,6,6,6,,,,,,,,,,,,,,16,16,16,17,,,,35,35,35,
82000,72172,0,0,0,0,1,1,1,,,,,,,,,,,,,,26,26,26,28,,,,53,53,53,
84000,72180,0,0,0,0,6,6,6,,,,,,,,,,,,,,20,20,20,22,,,,44,44,44,
86000,72394,0,0,0,0,1,1,1,,,,,,,,,,,,,,26,26,26,27,,,,50,50,50,
88000,72119,0,0,0,0,6,6,6,,,,,,,,,,,,,,18,18,18,19,,,,39,39,39,
90000,78057,0,0,0,0,6,6,6,,,,,,,,,,,,,,47,47,47,48,,,,72,71,71,
92000,77967,0,0,0,0,5,6,5,,,,,,,,,,,,,,28,28,28,30,,,,48,48,48,
94000,77936,0,0,0,0,6,6,6,,,,,,,,,,,,,,76,76,75,78,,,,100,100,100,
96000,78226,0,0,0,0,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,
98000,78197,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
100000,83637,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
102000,83554,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
104000,83233,0,0,0,0,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,
106000,83863,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
108000,83402,0,0,0,0,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,
110000,88595,0,0,0,0,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,
112000,88466,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
114000,88643,0,0,0,0,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,
116000,88646,0,0,0,0,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,
118000,88678,0,0,0,0,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,
